n,rep_id,seed,dim_y,support_size,p_x,propensity,beta_scale,alpha_scale,smoothing_epsilon,model_type,crossfit,n_folds,split_frac,aipw,n_eval,dual_computation_mode,runtime_seconds,ot_solve_count,ot_cache_hits,ot_runtime_seconds,solver_status,solver_warning_count,model_warning_count,observed_unique_atoms_arm0,observed_unique_atoms_arm1,dual_lower_first_term_estimate,dual_upper_first_term_estimate,dual_lower_first_term_se,dual_upper_first_term_se,dual_ATE_norm_sq_estimate,dual_lower_VarITE_estimate,dual_upper_VarITE_estimate,dual_lower_se,dual_upper_se,dual_lower_ci,dual_upper_ci,oracle_lower_first_term,oracle_upper_first_term,true_ATE_norm_sq,oracle_lower_VarITE,oracle_upper_VarITE,oracle_computation_mode,oracle_n_units,oracle_solver_warning_count,oracle_ot_solve_count,oracle_ot_cache_hits,oracle_ot_runtime_seconds,oracle_runtime_seconds,dual_lower_covers_oracle,dual_upper_covers_oracle,any_anticonservative
500,0,501,10,1024,50,0.3,0.3,0.5,1e-06,oracle,True,2,0.5,False,500,full,0.049,0,500,0.0,ok,0,0,161.0,72.0,0.4541384845967947,9.61408831987442,0.07881747618213454,0.1984082615789706,0.05072743764172329,0.4034110469550714,9.563360882232695,0.07922999449487936,0.19272302201965652,0.2481231112498011,9.941091064382942,0.3557221749762697,9.631905233719806,0.0011275838410478318,0.35459459113522185,9.630777649878757,full,500,0,500,0,115.25967979431152,115.321,True,True,False
500,0,501,10,1024,50,0.3,0.3,0.5,1e-06,estimated,True,2,0.5,False,500,full,136.832,500,0,136.61033701896667,ok,0,8,161.0,72.0,-0.13523998203732565,9.794426290741454,0.10029301585967396,0.23682800774984614,0.05072743764172329,-0.18596741967904895,9.74369885309973,0.09934936131520576,0.23185502935620553,-0.3806885897439092,10.198126360272369,0.3557221749762697,9.631905233719806,0.0011275838410478318,0.35459459113522185,9.630777649878757,full,500,0,500,0,115.25967979431152,115.321,True,True,False
500,1,100501,10,1024,50,0.3,0.3,0.5,1e-06,oracle,True,2,0.5,False,500,full,0.055,0,500,0.0,ok,0,0,154.5,79.0,0.4278550366152124,9.901608302787587,0.08773953600358869,0.20918157795969797,0.11948299319728223,0.3083720434179302,9.782125309590304,0.12775193450518668,0.12700776824011736,0.057982852832444476,10.031055961097744,0.36206471007506424,9.640459203281003,0.0005502228708349503,0.3615144872042293,9.639908980410167,full,500,0,500,0,121.66593790054321,121.743,True,True,False
500,1,100501,10,1024,50,0.3,0.3,0.5,1e-06,estimated,True,2,0.5,False,500,full,154.721,500,0,154.51339864730835,ok,0,8,154.5,79.0,0.02391703868269476,10.302527826596524,0.09704913659120439,0.2411850060725758,0.11948299319728223,-0.09556595451458746,10.183044833399242,0.15319827067897884,0.15776060808353443,-0.39582904753920456,10.492249943422108,0.36206471007506424,9.640459203281003,0.0005502228708349503,0.3615144872042293,9.639908980410167,full,500,0,500,0,121.66593790054321,121.743,True,True,False
500,2,200501,10,1024,50,0.3,0.3,0.5,1e-06,oracle,True,2,0.5,False,500,full,0.054,0,500,0.0,ok,0,0,163.5,70.5,0.4152738043015272,9.639828520104393,0.08164509692804384,0.20357839124377902,0.009184580498865301,0.40608922380266194,9.630643939605527,0.086001646932088,0.22019783016961494,0.2375290932046398,10.06222375621184,0.36044664643728697,9.641976308696762,0.0012054009519768618,0.3592412454853101,9.640770907744786,full,500,0,500,0,133.66296362876892,133.74,True,True,False
500,2,200501,10,1024,50,0.3,0.3,0.5,1e-06,estimated,True,2,0.5,False,500,full,153.132,500,0,152.9246428012848,ok,0,8,163.5,70.5,0.07267271427158815,9.99485857947051,0.0994921369273111,0.24062115040862617,0.009184580498865301,0.06348813377272286,9.985673998971643,0.09740584378929705,0.2572893223329615,-0.12742381193803387,10.489951804350966,0.36044664643728697,9.641976308696762,0.0012054009519768618,0.3592412454853101,9.640770907744786,full,500,0,500,0,133.66296362876892,133.74,True,True,False
500,3,300501,10,1024,50,0.3,0.3,0.5,1e-06,oracle,True,2,0.5,False,500,full,0.054,0,500,0.0,ok,0,0,147.5,82.5,0.36715890955797303,10.08839467836653,0.08045194067962923,0.21381902681148132,0.12987392290249786,0.23728498665547518,9.958520755464033,0.128875345660628,0.1309198933493941,-0.01530604933450605,10.21511903128867,0.359131290639427,9.62944762230127,0.0012309591918418141,0.3579003314475852,9.628216663109429,full,500,0,500,0,135.15223097801208,135.234,True,True,False
500,3,300501,10,1024,50,0.3,0.3,0.5,1e-06,estimated,True,2,0.5,False,500,full,140.271,500,0,140.07887244224548,ok,0,8,147.5,82.5,0.003023633423667789,10.579150688098656,0.10225092033127602,0.24454530871793034,0.12987392290249786,-0.12685028947883006,10.449276765196158,0.16208686061838046,0.1598309268038662,-0.4445346986580194,10.762539625347394,0.359131290639427,9.62944762230127,0.0012309591918418141,0.3579003314475852,9.628216663109429,full,500,0,500,0,135.15223097801208,135.234,True,True,False
500,4,400501,10,1024,50,0.3,0.3,0.5,1e-06,oracle,True,2,0.5,False,500,full,0.037,0,500,0.0,ok,0,0,153.5,73.5,0.23580899672544825,9.723016558814656,0.07669908918943935,0.20579304377116092,0.05655328798186092,0.17925570874358732,9.666463270832795,0.08959206938966431,0.16640662498297515,0.0036584794394318443,9.992614262588289,0.3565347160916743,9.635072151558793,0.000512402713330341,0.35602231337834395,9.634559748845463,full,500,0,500,0,379.75549960136414,379.82,True,True,False
500,4,400501,10,1024,50,0.3,0.3,0.5,1e-06,estimated,True,2,0.5,False,500,full,141.431,500,0,141.2493302822113,ok,0,8,153.5,73.5,0.10455338439674625,10.05081306751005,0.092082969037756,0.2351531100831434,0.05655328798186092,0.048000096414885327,9.99425977952819,0.10691284463721941,0.19572675102192305,-0.161545228558791,10.377877162342196,0.3565347160916743,9.635072151558793,0.000512402713330341,0.35602231337834395,9.634559748845463,full,500,0,500,0,379.75549960136414,379.82,True,True,False
500,5,500501,10,1024,50,0.3,0.3,0.5,1e-06,oracle,True,2,0.5,False,500,full,0.025,0,500,0.0,ok,0,0,154.5,70.0,0.4593620278433989,9.560053183531043,0.07937579394061904,0.2066093639649991,0.024101587301587464,0.43526044054181146,9.535951596229456,0.07944213765370094,0.1997860189794864,0.2795567118856843,9.927524998043886,0.3635182227648507,9.637740530184889,0.0015778681611091582,0.3619403546037415,9.63616266202378,full,500,0,500,0,110.37855219841003,110.439,True,True,False
500,5,500501,10,1024,50,0.3,0.3,0.5,1e-06,estimated,True,2,0.5,False,500,full,336.294,500,0,336.08291840553284,ok,0,8,154.5,70.0,0.2081857960575146,10.143826469350058,0.09739975829453298,0.24417192259628628,0.024101587301587464,0.18408420875592715,10.119724882048471,0.09567697140889728,0.23812752116471606,-0.003439209355379974,10.586446247259115,0.3635182227648507,9.637740530184889,0.0015778681611091582,0.3619403546037415,9.63616266202378,full,500,0,500,0,110.37855219841003,110.439,True,True,False
500,6,600501,10,1024,50,0.3,0.3,0.5,1e-06,oracle,True,2,0.5,False,500,full,0.029,0,500,0.0,ok,0,0,160.0,71.5,0.48865303786383324,9.342076793099631,0.077914452283796,0.1979159135922986,0.018949659863946085,0.46970337799988715,9.323127133235685,0.07533413817560825,0.18662397073541576,0.322051180369331,9.688903394528957,0.36101049282977116,9.631540878412666,0.001651529058613725,0.35935896377115745,9.629889349354052,full,500,0,500,0,108.91368842124939,108.978,True,True,False
500,6,600501,10,1024,50,0.3,0.3,0.5,1e-06,estimated,True,2,0.5,False,500,full,137.241,500,0,137.03944635391235,ok,0,8,160.0,71.5,0.11929618633472693,9.972138822042828,0.09680131671520781,0.23539902180755615,0.018949659863946085,0.10034652647078084,9.953189162178882,0.09765464575423663,0.2235242394315739,-0.09105306213054025,10.391288621136475,0.36101049282977116,9.631540878412666,0.001651529058613725,0.35935896377115745,9.629889349354052,full,500,0,500,0,108.91368842124939,108.978,True,True,False
500,7,700501,10,1024,50,0.3,0.3,0.5,1e-06,oracle,True,2,0.5,False,500,full,0.022,0,500,0.0,ok,0,0,164.0,63.5,0.3153343307329377,9.37363579933073,0.07416054494071356,0.20433120278241226,0.11704308390022294,0.19829124683271476,9.256592715430507,0.11949749178526269,0.2885849060718572,-0.03591953330927106,9.822208737813222,0.36099974681070574,9.636529984862035,0.000447081559748057,0.3605526652509577,9.636082903302286,full,500,0,500,0,120.46579813957214,120.527,True,True,False
500,7,700501,10,1024,50,0.3,0.3,0.5,1e-06,estimated,True,2,0.5,False,500,full,149.227,500,0,149.0368959903717,ok,0,8,164.0,63.5,0.06946773573032144,9.48462465488633,0.09934993849033773,0.23106857159304417,0.11704308390022294,-0.0475753481699015,9.367581570986108,0.11248831230716613,0.31267328834378966,-0.2680483889736408,9.980409955067643,0.36099974681070574,9.636529984862035,0.000447081559748057,0.3605526652509577,9.636082903302286,full,500,0,500,0,120.46579813957214,120.527,True,True,False
500,8,800501,10,1024,50,0.3,0.3,0.5,1e-06,oracle,True,2,0.5,False,500,full,0.026,0,500,0.0,ok,0,0,160.5,63.5,0.36748227810877593,9.469197257063577,0.07891991338958401,0.20330351820077253,0.10050793650793324,0.26697434160084266,9.368689320555644,0.1169695699469839,0.2792778856582628,0.03771819721761552,9.916063918124335,0.3553427639607694,9.641001389799738,0.0014631423458585095,0.3538796216149109,9.63953824745388,full,500,0,500,0,130.42505407333374,130.498,True,True,False
500,8,800501,10,1024,50,0.3,0.3,0.5,1e-06,estimated,True,2,0.5,False,500,full,711.545,500,0,711.3180780410767,ok,0,8,160.5,63.5,0.15947959640780449,9.634452814196079,0.09985454814728086,0.23062606656291454,0.10050793650793324,0.05897165989987124,9.533944877688146,0.10445403885405136,0.30807592783569454,-0.14575449429381687,10.137762600749868,0.3553427639607694,9.641001389799738,0.0014631423458585095,0.3538796216149109,9.63953824745388,full,500,0,500,0,130.42505407333374,130.498,True,True,False
500,9,900501,10,1024,50,0.3,0.3,0.5,1e-06,oracle,True,2,0.5,False,500,full,0.03,0,500,0.0,ok,0,0,163.5,65.5,0.30496120010994,9.310877264299513,0.07997136230730811,0.20434281230164333,0.04186848072562138,0.2630927193843186,9.269008783573891,0.09707576822688378,0.25005505561205216,0.07282770988806869,9.759107686725674,0.366168165681682,9.626219041868394,0.0015098807143975987,0.36465828496728436,9.624709161153996,full,500,0,500,0,239.2846782207489,239.352,True,True,False
500,9,900501,10,1024,50,0.3,0.3,0.5,1e-06,estimated,True,2,0.5,False,500,full,133.924,500,0,133.73396468162537,ok,0,8,163.5,65.5,-0.00017296558135394946,9.52247342353313,0.09160873592430328,0.23248505438774247,0.04186848072562138,-0.04204144630697533,9.480604942807508,0.09238601494572743,0.27831176752136705,-0.22311470827578023,10.026085983623071,0.366168165681682,9.626219041868394,0.0015098807143975987,0.36465828496728436,9.624709161153996,full,500,0,500,0,239.2846782207489,239.352,True,True,False
500,10,1000501,10,1024,50,0.3,0.3,0.5,1e-06,oracle,True,2,0.5,False,500,full,0.032,0,500,0.0,ok,0,0,161.5,61.0,0.36038333266087114,9.144690780156447,0.07510073543697857,0.19589433810012186,0.16499319727890657,0.19539013538196456,8.97969758287754,0.1457266095451313,0.3008042018048381,-0.09022877091562367,9.56926298481334,0.37681594797894924,9.633637091425184,0.0026976365558661255,0.3741183114230831,9.630939454869319,full,500,0,500,0,262.66110253334045,262.733,True,False,True
