n,rep_id,seed,dim_y,support_size,p_x,propensity,beta_scale,alpha_scale,smoothing_epsilon,model_type,crossfit,n_folds,split_frac,aipw,n_eval,dual_computation_mode,runtime_seconds,ot_solve_count,ot_cache_hits,ot_runtime_seconds,solver_status,solver_warning_count,model_warning_count,observed_unique_atoms_arm0,observed_unique_atoms_arm1,dual_lower_first_term_estimate,dual_upper_first_term_estimate,dual_lower_first_term_se,dual_upper_first_term_se,dual_ATE_norm_sq_estimate,dual_lower_VarITE_estimate,dual_upper_VarITE_estimate,dual_lower_se,dual_upper_se,dual_lower_ci,dual_upper_ci,oracle_lower_first_term,oracle_upper_first_term,true_ATE_norm_sq,oracle_lower_VarITE,oracle_upper_VarITE,oracle_computation_mode,oracle_n_units,oracle_solver_warning_count,oracle_ot_solve_count,oracle_ot_cache_hits,oracle_ot_runtime_seconds,oracle_runtime_seconds,dual_lower_covers_oracle,dual_upper_covers_oracle,any_anticonservative
100,0,101,8,256,50,0.3,0.3,0.5,1e-06,oracle,True,2,0.5,False,100,full,1508.495,100,0,1508.4876143932343,ok,0,0,32.0,14.5,0.24953826137879598,7.649287239241645,0.10299006406422946,0.10535158385780645,0.23269841269841313,0.016839848680382852,7.416588826543232,0.283716795892433,0.2888343009683077,-0.5392348530778874,7.982693653940918,0.41379340219301125,7.582753183456074,0.004711112939885827,0.4090822892531254,7.5780420705161875,full,100,0,100,0,0.532371997833252,0.534,True,True,False
100,0,101,8,256,50,0.3,0.3,0.5,1e-06,estimated,True,2,0.5,False,100,full,2402.822,100,0,2402.785573244095,ok,0,6,32.0,14.5,-0.15739991871043088,8.387313074229928,0.2264941258633213,0.2398011640635343,0.23269841269841313,-0.390098331408844,8.154614661531514,0.43657980146857306,0.21234784711732094,-1.2457790186648943,8.57080879407608,0.41379340219301125,7.582753183456074,0.004711112939885827,0.4090822892531254,7.5780420705161875,full,100,0,100,0,0.532371997833252,0.534,True,True,False
100,1,100101,8,256,50,0.3,0.3,0.5,1e-06,oracle,True,2,0.5,False,100,full,1453.541,100,0,1453.5341303348541,ok,0,0,32.5,12.5,0.4307855612395343,7.690511319195122,0.08414821179691874,0.09762050775837047,0.10482993197278925,0.32595562926674504,7.5856813872223325,0.15987961059074232,0.18346297177113458,0.012597350646601502,7.945262204390445,0.3829537553711478,7.594244471789705,0.0034523758780640327,0.37950137949308377,7.590792095911641,full,100,0,100,0,0.6215043067932129,0.624,True,True,False
100,1,100101,8,256,50,0.3,0.3,0.5,1e-06,estimated,True,2,0.5,False,100,full,2402.533,100,0,2402.492256641388,ok,0,6,32.5,12.5,-0.033270306231916055,7.888063384730774,0.21238576419300484,0.182443899165131,0.10482993197278925,-0.1381002382047053,7.783233452757985,0.180823008292841,0.27465436904932955,-0.4925068220348612,8.321546124291244,0.3829537553711478,7.594244471789705,0.0034523758780640327,0.37950137949308377,7.590792095911641,full,100,0,100,0,0.6215043067932129,0.624,True,True,False
100,2,200101,8,256,50,0.3,0.3,0.5,1e-06,oracle,True,2,0.5,False,100,full,1432.683,100,0,1432.6750810146332,ok,0,0,31.5,13.0,0.3864025433087871,7.712311239889383,0.10695022124273224,0.08641529780521791,0.20687074829932006,0.17953179500946703,7.505440491590063,0.14983543885680584,0.17358211696609768,-0.11414026875762578,7.845655189203834,0.4047888699690606,7.652151124405455,0.01153658133402955,0.39325228863503103,7.640614543071425,full,100,0,100,0,0.5979390144348145,0.601,True,True,False
100,2,200101,8,256,50,0.3,0.3,0.5,1e-06,estimated,True,2,0.5,False,100,full,2315.748,100,0,2315.7099134922028,ok,0,6,31.5,13.0,0.30719606889066453,8.132136085518466,0.20331618555790457,0.20125300853089306,0.20687074829932006,0.10032532059134447,7.925265337219146,0.15846786452064726,0.2833687676895057,-0.2102659865760968,8.480657916234074,0.4047888699690606,7.652151124405455,0.01153658133402955,0.39325228863503103,7.640614543071425,full,100,0,100,0,0.5979390144348145,0.601,True,True,False
100,3,300101,8,256,50,0.3,0.3,0.5,1e-06,oracle,True,2,0.5,False,100,full,1443.611,100,0,1443.6044459342957,ok,0,0,30.0,16.0,0.3115981618604433,7.605170976797577,0.10132410655311538,0.09278351690464653,0.14734693877551033,0.16425122308493298,7.457824038022067,0.23707913621887236,0.2431933272848268,-0.3004153453899223,7.934474200780789,0.40350833161815297,7.567156308319792,0.00464152127104842,0.39886681034710453,7.562514787048744,full,100,0,100,0,0.5715639591217041,0.574,True,True,False
100,3,300101,8,256,50,0.3,0.3,0.5,1e-06,estimated,True,2,0.5,False,100,full,2336.081,100,0,2336.041775226593,ok,0,7,30.0,16.0,-0.0679192450329079,7.685907288215054,0.18631774083757585,0.14759695005698883,0.14734693877551033,-0.21526618380841822,7.5385603494395435,0.33284666412580205,0.22259170665411288,-0.8676336578692903,7.97483207773891,0.40350833161815297,7.567156308319792,0.00464152127104842,0.39886681034710453,7.562514787048744,full,100,0,100,0,0.5715639591217041,0.574,True,True,False
100,4,400101,8,256,50,0.3,0.3,0.5,1e-06,oracle,True,2,0.5,False,100,full,1438.799,100,0,1438.792688369751,ok,0,0,31.0,12.5,0.41945432583162867,7.602608344708599,0.09443627570983391,0.09619889245402787,0.06501133786848087,0.35444298796314777,7.537597006840118,0.14686673658220123,0.12958669486410299,0.06658947373510216,7.791582261649341,0.3963863801347721,7.600535374117989,0.004812793772843524,0.39157358636192857,7.595722580345146,full,100,0,100,0,0.5666778087615967,0.569,True,True,False
100,4,400101,8,256,50,0.3,0.3,0.5,1e-06,estimated,True,2,0.5,False,100,full,3187.098,100,0,3187.0605669021606,ok,0,6,31.0,12.5,-0.10286861665084235,7.820830726699611,0.20148695997030455,0.18089389310244922,0.06501133786848087,-0.16787995451932322,7.75581938883113,0.16761410535904367,0.2494244195492545,-0.4963975643239509,8.244682268012477,0.3963863801347721,7.600535374117989,0.004812793772843524,0.39157358636192857,7.595722580345146,full,100,0,100,0,0.5666778087615967,0.569,True,True,False
100,5,500101,8,256,50,0.3,0.3,0.5,1e-06,oracle,True,2,0.5,False,100,full,24649.814,100,0,24649.806713819504,ok,0,0,32.0,15.0,0.1922578029980755,7.648206673034306,0.09624423585776291,0.07936536944864497,0.09258503401360561,0.09967276898446988,7.5556216390207,0.13720885146499387,0.1257844286629496,-0.16925163824702394,7.802154589016029,0.36673998814442826,7.613587534178293,0.0012465301295763174,0.36549345801485195,7.612341004048717,full,100,0,100,0,1.5009613037109375,1.508,True,True,False
100,5,500101,8,256,50,0.3,0.3,0.5,1e-06,estimated,True,2,0.5,False,100,full,2203.916,100,0,2203.8679995536804,ok,0,6,32.0,15.0,0.05533316751836499,7.9304277977121425,0.18786874566484302,0.17385853333294574,0.09258503401360561,-0.03725186649524062,7.837842763698537,0.1483416990629349,0.23363390784384347,-0.32799625406407207,8.295756808639819,0.36673998814442826,7.613587534178293,0.0012465301295763174,0.36549345801485195,7.612341004048717,full,100,0,100,0,1.5009613037109375,1.508,True,True,False
