n,rep_id,seed,dim_y,support_size,p_x,propensity,beta_scale,alpha_scale,smoothing_epsilon,model_type,crossfit,n_folds,split_frac,aipw,n_eval,dual_computation_mode,runtime_seconds,ot_solve_count,ot_cache_hits,ot_runtime_seconds,solver_status,solver_warning_count,model_warning_count,observed_unique_atoms_arm0,observed_unique_atoms_arm1,dual_lower_first_term_estimate,dual_upper_first_term_estimate,dual_lower_first_term_se,dual_upper_first_term_se,dual_ATE_norm_sq_estimate,dual_lower_VarITE_estimate,dual_upper_VarITE_estimate,dual_lower_se,dual_upper_se,dual_lower_ci,dual_upper_ci,oracle_lower_first_term,oracle_upper_first_term,true_ATE_norm_sq,oracle_lower_VarITE,oracle_upper_VarITE,oracle_computation_mode,oracle_n_units,oracle_solver_warning_count,oracle_ot_solve_count,oracle_ot_cache_hits,oracle_ot_runtime_seconds,oracle_runtime_seconds,dual_lower_covers_oracle,dual_upper_covers_oracle,any_anticonservative
100,0,101,6,64,50,0.3,0.3,0.5,1e-06,oracle,True,2,0.5,False,100,full,68.456,100,0,68.45242595672607,ok,0,0,27.5,11.5,0.4180914962668082,5.708502234402564,0.10317028268820438,0.10691128941868233,0.15009070294784616,0.26800079331896204,5.558411531454718,0.1396219844082658,0.16010916511090675,-0.0056532675712518965,5.872219728666872,0.4368513956236514,5.552878058999782,0.017708989435499128,0.41914240618815224,5.535169069564283,full,100,0,100,0,0.03392791748046875,0.035,True,True,False
100,0,101,6,64,50,0.3,0.3,0.5,1e-06,estimated,True,2,0.5,False,100,full,103.026,100,0,102.99058175086975,ok,0,6,27.5,11.5,0.2777104643568507,5.9945254407130255,0.218512964555503,0.2297350874425596,0.15009070294784616,0.12761976140900455,5.844434737765179,0.17225875730350984,0.2992770315658465,-0.21000119892750074,6.431006941034296,0.4368513956236514,5.552878058999782,0.017708989435499128,0.41914240618815224,5.535169069564283,full,100,0,100,0,0.03392791748046875,0.035,True,True,False
100,1,100101,6,64,50,0.3,0.3,0.5,1e-06,oracle,True,2,0.5,False,100,full,68.557,100,0,68.55354714393616,ok,0,0,25.5,15.0,0.24975820054828365,5.838366164630936,0.12084276871481336,0.11417301644640221,0.20804988662131546,0.041708313926968194,5.63031627800962,0.25732151953672094,0.19875453887367198,-0.46263259681212476,6.0198680159658835,0.43283842588534505,5.590080984738831,0.01163383187289994,0.4212045940124451,5.578447152865931,full,100,0,100,0,0.03514528274536133,0.037,True,True,False
100,1,100101,6,64,50,0.3,0.3,0.5,1e-06,estimated,True,2,0.5,False,100,full,103.901,100,0,103.87130928039551,ok,0,7,25.5,15.0,-0.1405298942432708,6.361827291321996,0.20828582266951093,0.21610296975470256,0.20804988662131546,-0.3485797808645863,6.15377740470068,0.34294433187728757,0.21005388935407815,-1.0207383200462217,6.5654754626472345,0.43283842588534505,5.590080984738831,0.01163383187289994,0.4212045940124451,5.578447152865931,full,100,0,100,0,0.03514528274536133,0.037,True,True,False
100,2,200101,6,64,50,0.3,0.3,0.5,1e-06,oracle,True,2,0.5,False,100,full,62.12,100,0,62.11646318435669,ok,0,0,27.5,12.0,0.4320386833186502,5.592282832909146,0.08552239018366509,0.08165645936292527,0.10351473922902517,0.32852394408962504,5.488768093680121,0.15896110934593963,0.14578336339921846,0.016965894829049977,5.7744982354877035,0.362161746594307,5.67512014526533,0.005080224855654477,0.35708152173865254,5.670039920409676,full,100,0,100,0,0.040513038635253906,0.042,True,True,False
100,2,200101,6,64,50,0.3,0.3,0.5,1e-06,estimated,True,2,0.5,False,100,full,99.66,100,0,99.62575387954712,ok,0,6,27.5,12.0,0.22723726018107596,5.762286837818767,0.1674988012749427,0.15811175071541445,0.10351473922902517,0.12372252095205079,5.658772098589742,0.16986819679863963,0.25613598229750517,-0.20921302689204502,6.160789399037641,0.362161746594307,5.67512014526533,0.005080224855654477,0.35708152173865254,5.670039920409676,full,100,0,100,0,0.040513038635253906,0.042,True,True,False
