n,rep_id,seed,dim_y,support_size,p_x,propensity,beta_scale,alpha_scale,smoothing_epsilon,model_type,crossfit,n_folds,split_frac,aipw,n_eval,dual_computation_mode,runtime_seconds,ot_solve_count,ot_cache_hits,ot_runtime_seconds,solver_status,solver_warning_count,model_warning_count,observed_unique_atoms_arm0,observed_unique_atoms_arm1,dual_lower_first_term_estimate,dual_upper_first_term_estimate,dual_lower_first_term_se,dual_upper_first_term_se,dual_ATE_norm_sq_estimate,dual_lower_VarITE_estimate,dual_upper_VarITE_estimate,dual_lower_se,dual_upper_se,dual_lower_ci,dual_upper_ci,oracle_lower_first_term,oracle_upper_first_term,true_ATE_norm_sq,oracle_lower_VarITE,oracle_upper_VarITE,oracle_computation_mode,oracle_n_units,oracle_solver_warning_count,oracle_ot_solve_count,oracle_ot_cache_hits,oracle_ot_runtime_seconds,oracle_runtime_seconds,dual_lower_covers_oracle,dual_upper_covers_oracle,any_anticonservative
100,0,101,5,32,50,0.3,0.3,0.5,1e-06,oracle,True,2,0.5,False,100,full,2.735,100,0,2.7329211235046387,ok,0,0,21.5,11.0,0.30721276143658605,4.732532582359285,0.09549344758151398,0.11763768981384551,0.035736961451247246,0.2714757999853388,4.696795620908038,0.09749547086543482,0.13660752957750488,0.08038818843331239,4.964541458896938,0.4671586747887196,4.544853035695836,0.01872904267470636,0.4484296321140132,4.52612399302113,full,100,0,100,0,0.015132904052734375,0.017,True,True,False
100,0,101,5,32,50,0.3,0.3,0.5,1e-06,estimated,True,2,0.5,False,100,full,3.467,100,0,3.4383492469787598,ok,0,6,21.5,11.0,0.3160538902488842,4.845342773497551,0.14616121038657195,0.164342189243818,0.035736961451247246,0.2803169287976369,4.809605812046303,0.14026478188445995,0.17756789332688225,0.005403008004729204,5.157632487777643,0.4671586747887196,4.544853035695836,0.01872904267470636,0.4484296321140132,4.52612399302113,full,100,0,100,0,0.015132904052734375,0.017,True,True,False
100,1,100101,5,32,50,0.3,0.3,0.5,1e-06,oracle,True,2,0.5,False,100,full,2.714,100,0,2.7123777866363525,ok,0,0,19.0,13.5,0.38679101406440297,4.6091029373464485,0.12207836384998061,0.10993461003556222,0.4676417233560091,-0.08085070929160615,4.141461213990439,0.4077769049398047,0.42983450532210393,-0.8800787567008366,4.983921363734353,0.43955395277426346,4.601082376285635,0.021470927713520167,0.4180830250607433,4.579611448572115,full,100,0,100,0,0.013582944869995117,0.015,True,True,False
100,1,100101,5,32,50,0.3,0.3,0.5,1e-06,estimated,True,2,0.5,False,100,full,3.807,100,0,3.774451732635498,ok,0,7,19.0,13.5,0.36577974007471126,4.737391887711334,0.17118441184650737,0.17516257602744043,0.4676417233560091,-0.10186198328129786,4.269750164355325,0.45749780903205284,0.40714905076897623,-0.9985412119901049,5.067747640202189,0.43955395277426346,4.601082376285635,0.021470927713520167,0.4180830250607433,4.579611448572115,full,100,0,100,0,0.013582944869995117,0.015,True,True,False
100,2,200101,5,32,50,0.3,0.3,0.5,1e-06,oracle,True,2,0.5,False,100,full,2.774,100,0,2.772024154663086,ok,0,0,20.0,11.5,0.2817507374713485,4.679766318835549,0.08682876296246797,0.08797185436451763,0.029274376417233627,0.25247636105411486,4.6504919424183155,0.11146243954070946,0.12816014479084734,0.034013993925351066,4.901681210461815,0.40284130764035536,4.655051534529091,0.00877537304682763,0.39406593459352773,4.6462761614822625,full,100,0,100,0,0.01350259780883789,0.015,True,True,False
100,2,200101,5,32,50,0.3,0.3,0.5,1e-06,estimated,True,2,0.5,False,100,full,3.877,100,0,3.8479816913604736,ok,0,6,20.0,11.5,-0.41954731452247673,4.945817224074981,0.2293754577122118,0.18246298246192505,0.029274376417233627,-0.44882169093971036,4.916542847657747,0.2706978335441263,0.16036895094178377,-0.9793796953792164,5.230860215742115,0.40284130764035536,4.655051534529091,0.00877537304682763,0.39406593459352773,4.6462761614822625,full,100,0,100,0,0.01350259780883789,0.015,True,True,False
100,3,300101,5,32,50,0.3,0.3,0.5,1e-06,oracle,True,2,0.5,False,100,full,2.94,100,0,2.937758684158325,ok,0,0,20.5,14.0,0.23713312854741087,4.805170818501762,0.0869441871987557,0.11652753216566943,0.12714285714285734,0.10999027140455353,4.678027961358905,0.2305028026865182,0.23506590251528983,-0.3417869201965646,5.138748664282276,0.3584910028900494,4.598232469087119,0.005817729370343901,0.3526732735197055,4.592414739716775,full,100,0,100,0,0.01619887351989746,0.018,True,True,False
100,3,300101,5,32,50,0.3,0.3,0.5,1e-06,estimated,True,2,0.5,False,100,full,3.46,100,0,3.4332637786865234,ok,0,6,20.5,14.0,-0.30468508694039803,5.492469672546677,0.18367195738633704,0.19987922906299088,0.12714285714285734,-0.43182794408325537,5.36532681540382,0.3142543564812162,0.2349668117101938,-1.0477551647712504,5.825853303918004,0.3584910028900494,4.598232469087119,0.005817729370343901,0.3526732735197055,4.592414739716775,full,100,0,100,0,0.01619887351989746,0.018,True,True,False
100,4,400101,5,32,50,0.3,0.3,0.5,1e-06,oracle,True,2,0.5,False,100,full,3.062,100,0,3.060251474380493,ok,0,0,21.5,10.5,0.4106953578616608,4.689370122444455,0.09392504382064223,0.13437356954491353,0.06589569160997745,0.34479966625168335,4.623474430834477,0.1383590951476853,0.15878884145839448,0.07362082282866961,4.934694841239771,0.4422004440370626,4.478302176809751,0.021041548939902715,0.42115889509715987,4.457260627869848,full,100,0,100,0,0.016548871994018555,0.018,True,True,False
100,4,400101,5,32,50,0.3,0.3,0.5,1e-06,estimated,True,2,0.5,False,100,full,3.622,100,0,3.594574451446533,ok,0,6,21.5,10.5,0.21405488553697188,4.765556801786554,0.1397940786073507,0.1913043428740125,0.06589569160997745,0.14815919392699445,4.699661110176576,0.12754388495657004,0.23253113088485067,-0.10182222703620283,5.155413751995253,0.4422004440370626,4.478302176809751,0.021041548939902715,0.42115889509715987,4.457260627869848,full,100,0,100,0,0.016548871994018555,0.018,True,True,False
